points,driverref,participations,country,did_not_start,last_win,driverid,podiums,last_race,country_flag,permanent_number,championships,surname,country_code,code,top_ten,did_not_finish,first_win,fastestlaps,races_finished,first_race,poles,subchampionships,year,standings_position,wins,forename,finished_in_points,dob
0.0,yamamoto,7,Japan,0,,29,0,2006-10-22T00:00:00.000Z,🇯🇵,,0,Yamamoto,jp,YAM,0,4,,0,3,2006-07-30T00:00:00.000Z,0,0,2006,26,0,Sakon,0,1982-07-09T00:00:00.000Z
0.0,speed,18,USA,0,,26,0,2006-10-22T00:00:00.000Z,🇺🇸,,0,Speed,us,SPE,3,4,,0,14,2006-03-12T00:00:00.000Z,0,0,2006,20,0,Scott,0,1983-01-24T00:00:00.000Z
0.0,sato,18,Japan,0,,11,0,2006-10-22T00:00:00.000Z,🇯🇵,,0,Sato,jp,SAT,1,8,,0,10,2006-03-12T00:00:00.000Z,0,0,2006,23,0,Takuma,0,1977-01-28T00:00:00.000Z
0.0,monteiro,18,Portugal,0,,33,0,2006-10-22T00:00:00.000Z,🇵🇹,,0,Monteiro,pt,TMO,1,7,,0,11,2006-03-12T00:00:00.000Z,0,0,2006,21,0,Tiago,0,1976-07-24T00:00:00.000Z
0.0,montagny,7,France,0,,36,0,2006-07-16T00:00:00.000Z,🇫🇷,,0,Montagny,fr,FMO,0,4,,0,3,2006-05-07T00:00:00.000Z,0,0,2006,27,0,Franck,0,1978-01-05T00:00:00.000Z
0.0,albers,18,Netherlands,0,,27,0,2006-10-22T00:00:00.000Z,🇳🇱,,0,Albers,nl,ALB,1,8,,0,10,2006-03-12T00:00:00.000Z,0,0,2006,22,0,Christijan,0,1979-04-16T00:00:00.000Z
0.0,ide,4,Japan,0,,34,0,2006-04-23T00:00:00.000Z,🇯🇵,,0,Ide,jp,IDE,0,3,,0,1,2006-03-12T00:00:00.000Z,0,0,2006,25,0,Yuji,0,1975-01-21T00:00:00.000Z
0.0,doornbos,3,Netherlands,0,,38,0,2006-10-22T00:00:00.000Z,🇳🇱,,0,Doornbos,nl,DOO,0,0,,0,3,2006-10-01T00:00:00.000Z,0,0,2006,24,0,Robert,0,1981-09-23T00:00:00.000Z
1.0,liuzzi,18,Italy,0,,24,0,2006-10-22T00:00:00.000Z,🇮🇹,,0,Liuzzi,it,LIU,4,4,,0,14,2006-03-12T00:00:00.000Z,0,0,2006,19,0,Vitantonio,1,1980-08-06T00:00:00.000Z
121.0,michael_schumacher,18,Germany,0,2006-10-01T00:00:00.000Z,30,12,2006-10-22T00:00:00.000Z,🇩🇪,,0,Schumacher,de,MSC,16,2,2006-04-23T00:00:00.000Z,7,16,2006-03-12T00:00:00.000Z,4,1,2006,2,7,Michael,16,1969-01-03T00:00:00.000Z
