points,driverref,participations,country,did_not_start,last_win,driverid,podiums,last_race,country_flag,permanent_number,championships,surname,country_code,code,top_ten,did_not_finish,first_win,fastestlaps,races_finished,first_race,poles,subchampionships,year,standings_position,wins,forename,finished_in_points,dob
0.0,jack_brabham,6,Australia,0,,356,0,1957-08-18T00:00:00.000Z,🇦🇺,,0,Brabham,au,,3,3,,0,3,1957-05-19T00:00:00.000Z,0,0,1957,23,0,Jack,0,1926-04-02T00:00:00.000Z
0.0,johnson,1,USA,0,,513,0,1957-05-30T00:00:00.000Z,🇺🇸,,0,Johnson,us,,0,1,,0,0,1957-05-30T00:00:00.000Z,0,0,1957,68,0,Eddie,0,1919-02-10T00:00:00.000Z
0.0,halford,3,UK,0,,506,0,1957-09-08T00:00:00.000Z,🇬🇧,,0,Halford,gb,,0,2,,0,1,1957-08-04T00:00:00.000Z,0,0,1957,38,0,Bruce,0,1931-05-18T00:00:00.000Z
0.0,ward,1,USA,0,,449,0,1957-05-30T00:00:00.000Z,🇺🇸,,0,Ward,us,,0,1,,0,0,1957-05-30T00:00:00.000Z,0,0,1957,73,0,Rodger,0,1921-01-10T00:00:00.000Z
0.0,agabashian,1,USA,0,,615,0,1957-05-30T00:00:00.000Z,🇺🇸,,0,Agabashian,us,,0,1,,0,0,1957-05-30T00:00:00.000Z,0,0,1957,63,0,Fred,0,1913-08-21T00:00:00.000Z
0.0,barth,1,Germany,0,,431,0,1957-08-04T00:00:00.000Z,🇩🇪,,0,Barth,de,,0,0,,0,1,1957-08-04T00:00:00.000Z,0,0,1957,42,0,Edgar,0,1917-01-26T00:00:00.000Z
0.0,beaufort,1,Netherlands,0,,430,0,1957-08-04T00:00:00.000Z,🇳🇱,,0,de Beaufort,nl,,0,0,,0,1,1957-08-04T00:00:00.000Z,0,0,1957,46,0,Carel Godin,0,1934-04-10T00:00:00.000Z
0.0,volonterio,1,Switzerland,0,,638,0,1957-09-08T00:00:00.000Z,🇨🇭,,0,Volonterio,ch,,0,0,,0,1,1957-09-08T00:00:00.000Z,0,0,1957,41,0,Ottorino,0,1917-12-07T00:00:00.000Z
0.0,bettenhausen,1,USA,0,,529,0,1957-05-30T00:00:00.000Z,🇺🇸,,0,Bettenhausen,us,,0,0,,0,1,1957-05-30T00:00:00.000Z,0,0,1957,48,0,Tony,0,1916-09-12T00:00:00.000Z
0.0,boyd,1,USA,0,,533,0,1957-05-30T00:00:00.000Z,🇺🇸,,0,Boyd,us,,1,0,,0,1,1957-05-30T00:00:00.000Z,0,0,1957,24,0,Johnny,0,1926-08-19T00:00:00.000Z
0.0,veith,1,USA,0,,514,0,1957-05-30T00:00:00.000Z,🇺🇸,,0,Veith,us,,1,0,,0,1,1957-05-30T00:00:00.000Z,0,0,1957,34,0,Bob,0,1926-11-01T00:00:00.000Z
0.0,bueb,2,UK,0,,549,0,1957-07-20T00:00:00.000Z,🇬🇧,,0,Bueb,gb,,1,1,,0,1,1957-05-19T00:00:00.000Z,0,0,1957,30,0,Ivor,0,1923-06-06T00:00:00.000Z
0.0,castellotti,1,Italy,0,,608,0,1957-01-13T00:00:00.000Z,🇮🇹,,0,Castellotti,it,,0,1,,0,0,1957-01-13T00:00:00.000Z,0,0,1957,53,0,Eugenio,0,1930-10-10T00:00:00.000Z
0.0,cheesbourg,1,USA,0,,560,0,1957-05-30T00:00:00.000Z,🇺🇸,,0,Cheesbourg,us,,0,1,,0,0,1957-05-30T00:00:00.000Z,0,0,1957,69,0,Bill,0,1927-06-12T00:00:00.000Z
0.0,christie,1,USA,0,,516,0,1957-05-30T00:00:00.000Z,🇺🇸,,0,Christie,us,,0,0,,0,1,1957-05-30T00:00:00.000Z,0,0,1957,44,0,Bob,0,1924-04-04T00:00:00.000Z
0.0,turner,1,USA,0,,562,0,1957-05-30T00:00:00.000Z,🇺🇸,,0,Turner,us,,0,0,,0,1,1957-05-30T00:00:00.000Z,0,0,1957,40,0,Jack,0,1920-02-12T00:00:00.000Z
0.0,connor,1,USA,0,,597,0,1957-05-30T00:00:00.000Z,🇺🇸,,0,O'Connor,us,,1,0,,0,1,1957-05-30T00:00:00.000Z,1,0,1957,31,0,Pat,0,1928-10-09T00:00:00.000Z
0.0,daywalt,1,USA,0,,556,0,1957-05-30T00:00:00.000Z,🇺🇸,,0,Daywalt,us,,0,1,,0,0,1957-05-30T00:00:00.000Z,0,0,1957,71,0,Jimmy,0,1924-08-28T00:00:00.000Z
0.0,edmunds,1,USA,0,,614,0,1957-05-30T00:00:00.000Z,🇺🇸,,0,Edmunds,us,,0,1,,0,0,1957-05-30T00:00:00.000Z,0,0,1957,60,0,Don,0,1930-09-23T00:00:00.000Z
0.0,elisian,1,USA,0,,596,0,1957-05-30T00:00:00.000Z,🇺🇸,,0,Elisian,us,,0,1,,0,0,1957-05-30T00:00:00.000Z,0,0,1957,72,0,Ed,0,1926-12-09T00:00:00.000Z
0.0,england,1,Australia,0,,621,0,1957-08-04T00:00:00.000Z,🇦🇺,,0,England,au,,0,1,,0,0,1957-08-04T00:00:00.000Z,0,0,1957,64,0,Paul,0,1929-03-28T00:00:00.000Z
0.0,fairman,1,UK,0,,486,0,1957-07-20T00:00:00.000Z,🇬🇧,,0,Fairman,gb,,0,1,,0,0,1957-07-20T00:00:00.000Z,0,0,1957,55,0,Jack,0,1913-03-15T00:00:00.000Z
