points,driverref,participations,country,did_not_start,last_win,driverid,podiums,last_race,country_flag,permanent_number,championships,surname,country_code,code,top_ten,did_not_finish,first_win,fastestlaps,races_finished,first_race,poles,subchampionships,year,standings_position,wins,forename,finished_in_points,dob
0.0,heidfeld,16,Germany,0,,2,0,2000-10-22T00:00:00.000Z,🇩🇪,,0,Heidfeld,de,HEI,3,10,,0,6,2000-03-12T00:00:00.000Z,0,0,2000,20,0,Nick,0,1977-05-10T00:00:00.000Z
0.0,mazzacane,17,Argentina,0,,60,0,2000-10-22T00:00:00.000Z,🇦🇷,,0,Mazzacane,ar,,3,5,,0,12,2000-03-12T00:00:00.000Z,0,0,2000,21,0,Gastón,0,1975-05-08T00:00:00.000Z
0.0,herbert,17,UK,0,,65,0,2000-10-22T00:00:00.000Z,🇬🇧,,0,Herbert,gb,,5,8,,0,9,2000-03-12T00:00:00.000Z,0,0,2000,17,0,Johnny,0,1964-06-25T00:00:00.000Z
0.0,gene,17,Spain,0,,48,0,2000-10-22T00:00:00.000Z,🇪🇸,,0,Gené,es,,3,7,,0,10,2000-03-12T00:00:00.000Z,0,0,2000,19,0,Marc,0,1974-03-29T00:00:00.000Z
0.0,alesi,17,France,0,,55,0,2000-10-22T00:00:00.000Z,🇫🇷,,0,Alesi,fr,,2,12,,0,5,2000-03-12T00:00:00.000Z,0,0,2000,22,0,Jean,0,1964-06-11T00:00:00.000Z
0.0,burti,1,Brazil,0,,54,0,2000-07-16T00:00:00.000Z,🇧🇷,,0,Burti,br,,0,0,,0,1,2000-07-16T00:00:00.000Z,0,0,2000,23,0,Luciano,0,1975-03-05T00:00:00.000Z
0.0,diniz,17,Brazil,1,,64,0,2000-10-22T00:00:00.000Z,🇧🇷,,0,Diniz,br,,6,6,,0,10,2000-03-12T00:00:00.000Z,0,0,2000,18,0,Pedro,0,1970-05-22T00:00:00.000Z
108.0,michael_schumacher,17,Germany,0,2000-10-22T00:00:00.000Z,30,12,2000-10-22T00:00:00.000Z,🇩🇪,,1,Schumacher,de,MSC,13,4,2000-03-12T00:00:00.000Z,0,13,2000-03-12T00:00:00.000Z,9,0,2000,1,9,Michael,13,1969-01-03T00:00:00.000Z
11.0,frentzen,17,Germany,0,,49,2,2000-10-22T00:00:00.000Z,🇩🇪,,0,Frentzen,de,,7,9,,0,8,2000-03-12T00:00:00.000Z,0,0,2000,9,0,Heinz-Harald,5,1967-05-18T00:00:00.000Z
12.0,button,17,UK,0,,18,0,2000-10-22T00:00:00.000Z,🇬🇧,22,0,Button,gb,BUT,9,6,,0,11,2000-03-12T00:00:00.000Z,0,0,2000,8,0,Jenson,6,1980-01-19T00:00:00.000Z
