1950,17.86%
1951,16.15%
1952,18.75%
1953,15.97%
1954,19.48%
1955,23.81%
1956,15.54%
1957,20.83%
1958,16.22%
1959,14.35%
1960,18.22%
1961,17.00%
1962,18.67%
1963,21.95%
1964,16.00%
1965,21.60%
1966,19.00%
1967,18.55%
1968,16.11%
1969,22.91%
1970,13.89%
1971,22.55%
1972,20.33%
1973,18.93%
1974,14.67%
1975,19.85%
1976,17.25%
1977,16.94%
1978,16.00%
1979,13.60%
1980,19.14%
1981,13.33%
1982,11.03%
1983,15.99%
1984,18.77%
1985,18.25%
1986,18.00%
1987,18.34%
1988,22.50%
1989,19.00%
1990,19.50%
1991,23.82%
1992,25.96%
1993,23.80%
1994,22.12%
1995,23.08%
1996,23.32%
1997,18.33%
1998,24.04%
1999,18.27%
2000,24.43%
2001,27.83%
2002,32.58%
2003,14.90%
2004,21.08%
2005,18.02%
2006,19.09%
2007,16.59%
2008,13.96%
2009,14.76%
2010,13.34%
2011,20.43%
2012,13.91%
2013,20.69%
2014,19.01%
2015,19.85%
2016,18.15%
2017,0.00%
