1950,24
1951,24
1952,25
1953,21
1954,19
1955,19
1956,15
1957,14
1958,16
1959,26
1960,23
1961,14
1962,19
1963,22
1964,13
1965,16
1966,15
1967,20
1968,17
1969,11
1970,12
1971,12
1972,12
1973,12
1974,20
1975,20
1976,21
1977,21
1978,19
1979,19
1980,15
1981,17
1982,17
1983,16
1984,15
1985,17
1986,14
1987,16
1988,18
1989,20
1990,19
1991,19
1992,16
1993,13
1994,14
1995,13
1996,11
1997,12
1998,11
1999,11
2000,11
2001,11
2002,11
2003,10
2004,10
2005,10
2006,12
2007,11
2008,11
2009,10
2010,12
2011,12
2012,12
2013,11
2014,11
2015,10
2016,11
2017,10
