points,driverref,participations,country,did_not_start,last_win,driverid,podiums,last_race,country_flag,permanent_number,championships,surname,country_code,code,top_ten,did_not_finish,first_win,fastestlaps,races_finished,first_race,poles,subchampionships,year,standings_position,wins,forename,finished_in_points,dob
0.0,rosa,20,Spain,1,,37,0,2012-11-25T00:00:00.000Z,🇪🇸,,0,de la Rosa,es,DLR,0,4,,0,15,2012-03-18T00:00:00.000Z,0,0,2012,25,0,Pedro,0,1971-02-24T00:00:00.000Z
0.0,ambrosio,1,Belgium,0,,816,0,2012-09-09T00:00:00.000Z,🇧🇪,,0,d'Ambrosio,be,DAM,0,0,,0,1,2012-09-09T00:00:00.000Z,0,0,2012,23,0,Jérôme,0,1985-12-27T00:00:00.000Z
0.0,pic,20,France,0,,819,0,2012-11-25T00:00:00.000Z,🇫🇷,,0,Pic,fr,PIC,0,5,,0,15,2012-03-18T00:00:00.000Z,0,0,2012,21,0,Charles,0,1990-02-15T00:00:00.000Z
0.0,glock,20,Germany,1,,10,0,2012-11-25T00:00:00.000Z,🇩🇪,,0,Glock,de,GLO,0,0,,0,19,2012-03-18T00:00:00.000Z,0,0,2012,20,0,Timo,0,1982-03-18T00:00:00.000Z
0.0,petrov,20,Russia,0,,808,0,2012-11-25T00:00:00.000Z,🇷🇺,,0,Petrov,ru,PET,0,3,,0,17,2012-03-18T00:00:00.000Z,0,0,2012,19,0,Vitaly,0,1984-09-08T00:00:00.000Z
0.0,karthikeyan,20,India,1,,39,0,2012-11-25T00:00:00.000Z,🇮🇳,,0,Karthikeyan,in,KAR,0,7,,0,12,2012-03-18T00:00:00.000Z,0,0,2012,24,0,Narain,0,1977-01-14T00:00:00.000Z
0.0,kovalainen,20,Finland,0,,5,0,2012-11-25T00:00:00.000Z,🇫🇮,,0,Kovalainen,fi,KOV,0,1,,0,19,2012-03-18T00:00:00.000Z,0,0,2012,22,0,Heikki,0,1981-10-19T00:00:00.000Z
10.0,ricciardo,20,Australia,0,,817,0,2012-11-25T00:00:00.000Z,🇦🇺,3,0,Ricciardo,au,RIC,6,1,,0,19,2012-03-18T00:00:00.000Z,0,0,2012,18,0,Daniel,6,1989-07-01T00:00:00.000Z
122.0,massa,20,Brazil,0,,13,2,2012-11-25T00:00:00.000Z,🇧🇷,19,0,Massa,br,MAS,14,1,,0,19,2012-03-18T00:00:00.000Z,0,0,2012,7,0,Felipe,14,1981-04-25T00:00:00.000Z
16.0,vergne,20,France,0,,818,0,2012-11-25T00:00:00.000Z,🇫🇷,25,0,Vergne,fr,VER,4,4,,0,16,2012-03-18T00:00:00.000Z,0,0,2012,17,0,Jean-Éric,4,1990-04-25T00:00:00.000Z
179.0,webber,20,Australia,0,2012-07-08T00:00:00.000Z,17,4,2012-11-25T00:00:00.000Z,🇦🇺,,0,Webber,au,WEB,15,2,2012-05-27T00:00:00.000Z,1,18,2012-03-18T00:00:00.000Z,2,0,2012,6,2,Mark,15,1976-08-27T00:00:00.000Z
188.0,button,20,UK,0,2012-11-25T00:00:00.000Z,18,6,2012-11-25T00:00:00.000Z,🇬🇧,22,0,Button,gb,BUT,14,2,2012-03-18T00:00:00.000Z,2,18,2012-03-18T00:00:00.000Z,1,0,2012,5,3,Jenson,14,1980-01-19T00:00:00.000Z
190.0,hamilton,20,UK,0,2012-11-18T00:00:00.000Z,1,7,2012-11-25T00:00:00.000Z,🇬🇧,44,0,Hamilton,gb,HAM,14,5,2012-06-10T00:00:00.000Z,1,15,2012-03-18T00:00:00.000Z,7,0,2012,4,4,Lewis,14,1985-01-07T00:00:00.000Z
207.0,raikkonen,20,Finland,0,2012-11-04T00:00:00.000Z,8,7,2012-11-25T00:00:00.000Z,🇫🇮,7,0,Räikkönen,fi,RAI,19,0,2012-11-04T00:00:00.000Z,2,20,2012-03-18T00:00:00.000Z,0,0,2012,3,1,Kimi,19,1979-10-17T00:00:00.000Z
278.0,alonso,20,Spain,0,2012-07-22T00:00:00.000Z,4,13,2012-11-25T00:00:00.000Z,🇪🇸,14,0,Alonso,es,ALO,18,2,2012-03-25T00:00:00.000Z,0,18,2012-03-18T00:00:00.000Z,2,1,2012,2,3,Fernando,18,1981-07-29T00:00:00.000Z
281.0,vettel,20,Germany,0,2012-10-28T00:00:00.000Z,20,10,2012-11-25T00:00:00.000Z,🇩🇪,5,1,Vettel,de,VET,17,1,2012-04-22T00:00:00.000Z,6,19,2012-03-18T00:00:00.000Z,6,0,2012,1,5,Sebastian,17,1987-07-03T00:00:00.000Z
31.0,bruno_senna,20,Brazil,0,,811,0,2012-11-25T00:00:00.000Z,🇧🇷,,0,Senna,br,SEN,10,2,,1,18,2012-03-18T00:00:00.000Z,0,0,2012,16,0,Bruno,10,1983-10-15T00:00:00.000Z
45.0,maldonado,20,Venezuela,0,2012-05-13T00:00:00.000Z,813,1,2012-11-25T00:00:00.000Z,🇻🇪,13,0,Maldonado,ve,MAL,5,5,2012-05-13T00:00:00.000Z,0,15,2012-03-18T00:00:00.000Z,1,0,2012,15,1,Pastor,5,1985-03-09T00:00:00.000Z
46.0,resta,20,UK,0,,814,0,2012-11-25T00:00:00.000Z,🇬🇧,,0,di Resta,gb,DIR,9,1,,0,19,2012-03-18T00:00:00.000Z,0,0,2012,14,0,Paul,9,1986-04-16T00:00:00.000Z
49.0,michael_schumacher,20,Germany,0,,30,1,2012-11-25T00:00:00.000Z,🇩🇪,,0,Schumacher,de,MSC,8,7,,1,13,2012-03-18T00:00:00.000Z,0,0,2012,13,0,Michael,8,1969-01-03T00:00:00.000Z
