points,driverref,participations,country,did_not_start,last_win,driverid,podiums,last_race,country_flag,permanent_number,championships,surname,country_code,code,top_ten,did_not_finish,first_win,fastestlaps,races_finished,first_race,poles,subchampionships,year,standings_position,wins,forename,finished_in_points,dob
0.0,verstappen,17,Netherlands,0,,50,0,1997-10-26T00:00:00.000Z,🇳🇱,,0,Verstappen,nl,,3,9,,0,8,1997-03-09T00:00:00.000Z,0,0,1997,21,0,Jos,0,1972-03-04T00:00:00.000Z
0.0,morbidelli,8,Italy,1,,81,0,1997-10-12T00:00:00.000Z,🇮🇹,,0,Morbidelli,it,,4,1,,0,6,1997-05-25T00:00:00.000Z,0,0,1997,22,0,Gianni,0,1968-01-13T00:00:00.000Z
0.0,marques,10,Brazil,1,,58,0,1997-10-26T00:00:00.000Z,🇧🇷,,0,Marques,br,,1,5,,0,4,1997-06-29T00:00:00.000Z,0,0,1997,25,0,Tarso,0,1976-01-19T00:00:00.000Z
0.0,magnussen,17,Denmark,0,,76,0,1997-10-26T00:00:00.000Z,🇩🇰,,0,Magnussen,dk,MAG,3,12,,0,5,1997-03-09T00:00:00.000Z,0,0,1997,20,0,Jan,0,1973-07-04T00:00:00.000Z
0.0,sospiri,1,Italy,0,,80,0,1997-03-09T00:00:00.000Z,🇮🇹,,0,Sospiri,it,,0,1,,0,0,1997-03-09T00:00:00.000Z,0,0,1997,,0,Vincenzo,0,1966-10-07T00:00:00.000Z
0.0,fontana,4,Argentina,0,,82,0,1997-10-26T00:00:00.000Z,🇦🇷,,0,Fontana,ar,,2,1,,0,3,1997-06-29T00:00:00.000Z,0,0,1997,23,0,Norberto,0,1975-01-20T00:00:00.000Z
0.0,rosset,1,Brazil,0,,73,0,1997-03-09T00:00:00.000Z,🇧🇷,,0,Rosset,br,,0,1,,0,0,1997-03-09T00:00:00.000Z,0,0,1997,,0,Ricardo,0,1968-07-27T00:00:00.000Z
0.0,katayama,17,Japan,0,,79,0,1997-10-26T00:00:00.000Z,🇯🇵,,0,Katayama,jp,,2,9,,0,8,1997-03-09T00:00:00.000Z,0,0,1997,24,0,Ukyo,0,1963-05-29T00:00:00.000Z
1.0,larini,5,Italy,0,,78,0,1997-05-11T00:00:00.000Z,🇮🇹,,0,Larini,it,,2,2,,0,3,1997-03-09T00:00:00.000Z,0,0,1997,19,0,Nicola,1,1964-03-19T00:00:00.000Z
13.0,ralf_schumacher,17,Germany,0,,23,1,1997-10-26T00:00:00.000Z,🇩🇪,,0,Schumacher,de,SCH,7,10,,0,7,1997-03-09T00:00:00.000Z,0,0,1997,11,0,Ralf,6,1975-06-30T00:00:00.000Z
15.0,herbert,17,UK,0,,65,1,1997-10-26T00:00:00.000Z,🇬🇧,,0,Herbert,gb,,11,6,,0,11,1997-03-09T00:00:00.000Z,0,0,1997,10,0,Johnny,6,1964-06-25T00:00:00.000Z
16.0,panis,10,France,0,,44,2,1997-10-26T00:00:00.000Z,🇫🇷,,0,Panis,fr,,7,2,,0,8,1997-03-09T00:00:00.000Z,0,0,1997,9,0,Olivier,5,1966-09-02T00:00:00.000Z
2.0,nakano,17,Japan,0,,75,0,1997-10-26T00:00:00.000Z,🇯🇵,,0,Nakano,jp,,5,9,,0,8,1997-03-09T00:00:00.000Z,0,0,1997,18,0,Shinji,2,1971-04-01T00:00:00.000Z
2.0,salo,17,Finland,0,,63,0,1997-10-26T00:00:00.000Z,🇫🇮,,0,Salo,fi,,4,9,,0,8,1997-03-09T00:00:00.000Z,0,0,1997,17,0,Mika,1,1966-11-30T00:00:00.000Z
2.0,diniz,17,Brazil,0,,64,0,1997-10-26T00:00:00.000Z,🇧🇷,,0,Diniz,br,,4,11,,0,6,1997-03-09T00:00:00.000Z,0,0,1997,16,0,Pedro,1,1970-05-22T00:00:00.000Z
20.0,fisichella,17,Italy,0,,21,2,1997-10-26T00:00:00.000Z,🇮🇹,,0,Fisichella,it,FIS,11,4,,0,13,1997-03-09T00:00:00.000Z,0,0,1997,8,0,Giancarlo,6,1973-01-14T00:00:00.000Z
24.0,irvine,17,UK,0,,56,5,1997-10-26T00:00:00.000Z,🇬🇧,,0,Irvine,gb,,9,6,,0,11,1997-03-09T00:00:00.000Z,0,0,1997,7,0,Eddie,6,1965-11-10T00:00:00.000Z
27.0,hakkinen,17,Finland,0,1997-10-26T00:00:00.000Z,57,3,1997-10-26T00:00:00.000Z,🇫🇮,,0,Häkkinen,fi,,9,8,1997-10-26T00:00:00.000Z,0,9,1997-03-09T00:00:00.000Z,1,0,1997,6,1,Mika,7,1968-09-28T00:00:00.000Z
27.0,berger,14,Austria,0,1997-07-27T00:00:00.000Z,77,2,1997-10-26T00:00:00.000Z,🇦🇹,,0,Berger,at,,13,1,1997-07-27T00:00:00.000Z,0,13,1997-03-09T00:00:00.000Z,1,0,1997,5,1,Gerhard,7,1959-08-27T00:00:00.000Z
3.0,trulli,14,Italy,0,,15,0,1997-09-21T00:00:00.000Z,🇮🇹,,0,Trulli,it,TRU,7,4,,0,10,1997-03-09T00:00:00.000Z,0,0,1997,15,0,Jarno,1,1974-07-13T00:00:00.000Z
36.0,alesi,17,France,0,,55,5,1997-10-26T00:00:00.000Z,🇫🇷,,0,Alesi,fr,,12,3,,0,14,1997-03-09T00:00:00.000Z,1,0,1997,4,0,Jean,10,1964-06-11T00:00:00.000Z
