participations,driverref,points,dob,did_not_start,last_win,driverid,podiums,last_race,permanent_number,championships,country_flag,surname,country_code,code,top_ten,did_not_finish,first_win,fastestlaps,races_finished,first_race,poles,subchampionships,year,standings_position,wins,forename,finished_in_points,country
1,love,0.0,1924-12-07,0,,340,0,1972-03-04,,0,🇿🇼,Love,zw,,0,0,,0,1,1972-03-04,0,0,1972,35,0,John,0,Rhodesia
1,surtees,0.0,1934-02-11,0,,341,0,1972-09-10,,0,🇬🇧,Surtees,gb,,0,1,,0,0,1972-09-10,0,0,1972,36,0,John,0,UK
1,scheckter,0.0,1950-01-29,0,,222,0,1972-10-08,,0,🇿🇦,Scheckter,za,,1,0,,0,1,1972-10-08,0,0,1972,29,0,Jody,0,South Africa
1,brack,0.0,1935-12-26,0,,343,0,1972-09-24,,0,🇨🇦,Brack,ca,,0,1,,0,0,1972-09-24,0,0,1972,41,0,Bill,0,Canada
1,posey,0.0,1944-05-26,0,,344,0,1972-10-08,,0,🇺🇸,Posey,us,,0,0,,0,1,1972-10-08,0,0,1972,32,0,Sam,0,USA
1,oliver,0.0,1942-08-14,0,,262,0,1972-07-15,,0,🇬🇧,Oliver,gb,,0,1,,0,0,1972-07-15,0,0,1972,37,0,Jackie,0,UK
1,migault,0.0,1944-12-04,0,,296,0,1972-08-13,,0,🇫🇷,Migault,fr,,0,1,,0,0,1972-08-13,0,0,1972,39,0,François,0,France
10,wilson_fittipaldi,0.0,1943-12-25,0,,290,0,1972-10-08,,0,🇧🇷,Fittipaldi,br,,4,5,,0,5,1972-05-01,0,0,1972,22,0,Wilson,0,Brazil
10,walker,0.0,1941-06-10,0,,338,0,1972-10-08,,0,🇦🇺,Walker,au,,2,5,,0,5,1972-01-23,0,0,1972,28,0,David,0,Australia
10,reutemann,3.0,1942-04-12,0,,199,0,1972-10-08,,0,🇦🇷,Reutemann,ar,,3,5,,0,5,1972-01-23,1,0,1972,16,0,Carlos,1,Argentina
10,regazzoni,15.0,1939-09-05,0,,223,2,1972-10-08,,0,🇨🇭,Regazzoni,ch,,5,4,,0,6,1972-01-23,0,0,1972,7,0,Clay,4,Switzerland
10,beuttler,0.0,1940-04-13,1,,329,0,1972-10-08,,0,🇬🇧,Beuttler,gb,,2,3,,0,6,1972-05-01,0,0,1972,26,0,Mike,0,UK
10,pescarolo,0.0,1942-09-25,1,,280,0,1972-10-08,,0,🇫🇷,Pescarolo,fr,,1,4,,0,5,1972-01-23,0,0,1972,27,0,Henri,0,France
10,ganley,4.0,1941-12-24,0,,307,0,1972-10-08,,0,🇳🇿,Ganley,nz,,5,4,,0,6,1972-01-23,0,0,1972,13,0,Howden,2,New Zealand
10,gethin,1.0,1940-02-21,0,,320,0,1972-10-08,,0,🇬🇧,Gethin,gb,,1,8,,0,2,1972-01-23,0,0,1972,21,0,Peter,1,UK
10,hailwood,13.0,1940-04-02,0,,305,1,1972-10-08,,0,🇬🇧,Hailwood,gb,,4,5,,0,5,1972-03-04,0,0,1972,8,0,Mike,4,UK
11,stewart,45.0,1939-06-11,0,1972-10-08,328,5,1972-10-08,,0,🇬🇧,Stewart,gb,,7,3,1972-01-23,0,8,1972-01-23,2,1,1972,2,4,Jackie,6,UK
11,beltoise,9.0,1937-04-26,0,1972-05-14,306,1,1972-10-08,,0,🇫🇷,Beltoise,fr,,4,5,1972-05-14,0,6,1972-03-04,0,0,1972,11,1,Jean-Pierre,1,France
11,pace,3.0,1944-10-06,0,,250,0,1972-10-08,,0,🇧🇷,Pace,br,,3,6,,0,5,1972-03-04,0,0,1972,18,0,Carlos,2,Brazil
12,lauda,0.0,1949-02-22,0,,182,0,1972-10-08,,0,🇦🇹,Lauda,at,,3,4,,0,8,1972-01-23,0,0,1972,23,0,Niki,0,Austria
12,emerson_fittipaldi,61.0,1946-12-12,0,1972-09-10,224,8,1972-10-08,,1,🇧🇷,Fittipaldi,br,,8,3,1972-05-01,0,9,1972-01-23,3,0,1972,1,5,Emerson,8,Brazil
12,hulme,39.0,1936-06-18,0,1972-03-04,304,7,1972-10-08,,0,🇳🇿,Hulme,nz,,9,2,1972-03-04,0,10,1972-01-23,0,0,1972,3,1,Denny,8,New Zealand
12,ickx,27.0,1945-01-01,0,1972-07-30,235,4,1972-10-08,,0,🇧🇪,Ickx,be,,6,4,1972-07-30,0,8,1972-01-23,4,0,1972,4,1,Jacky,5,Belgium
12,hill,4.0,1929-02-15,0,,289,0,1972-10-08,,0,🇬🇧,Hill,gb,,6,4,,0,8,1972-01-23,0,0,1972,15,0,Graham,3,UK
12,adamich,3.0,1941-10-03,0,,333,0,1972-10-08,,0,🇮🇹,de Adamich,it,,2,7,,0,5,1972-01-23,0,0,1972,17,0,Andrea,1,Italy
12,schenken,2.0,1943-09-26,0,,314,0,1972-10-08,,0,🇦🇺,Schenken,au,,3,6,,0,6,1972-01-23,0,0,1972,19,0,Tim,1,Australia
12,peterson,12.0,1944-02-14,0,,238,1,1972-10-08,,0,🇸🇪,Peterson,se,,8,2,,0,10,1972-01-23,0,0,1972,9,0,Ronnie,5,Sweden
12,cevert,15.0,1944-02-25,0,,327,2,1972-10-08,,0,🇫🇷,Cevert,fr,,6,6,,0,6,1972-01-23,0,0,1972,6,0,François,3,France
12,amon,12.0,1943-07-20,0,,278,1,1972-10-08,,0,🇳🇿,Amon,nz,,6,3,,0,9,1972-01-23,1,0,1972,10,0,Chris,6,New Zealand
2,merzario,1.0,1943-03-11,0,,232,0,1972-07-30,,0,🇮🇹,Merzario,it,,1,0,,0,2,1972-07-15,0,0,1972,20,0,Arturo,1,Italy
2,depailler,0.0,1944-08-09,0,,221,0,1972-10-08,,0,🇫🇷,Depailler,fr,,1,1,,0,1,1972-07-02,0,0,1972,24,0,Patrick,0,France
2,barber,0.0,1936-11-16,0,,342,0,1972-10-08,,0,🇺🇸,Barber,us,,0,1,,0,1,1972-09-24,0,0,1972,34,0,Skip,0,USA
2,roig,0.0,1932-10-29,0,,339,0,1972-05-01,,0,🇪🇸,Soler-Roig,es,,0,2,,0,0,1972-01-23,0,0,1972,38,0,Alex,0,Spain
3,bell,0.0,1941-10-31,1,,321,0,1972-10-08,,0,🇬🇧,Bell,gb,,0,2,,0,0,1972-07-30,0,0,1972,42,0,Derek,0,UK
4,redman,4.0,1937-03-09,0,,312,0,1972-10-08,,0,🇬🇧,Redman,gb,,3,1,,0,3,1972-05-14,0,0,1972,14,0,Brian,2,UK
4,charlton,0.0,1936-10-27,1,,293,0,1972-07-30,,0,🇿🇦,Charlton,za,,0,3,,0,0,1972-03-04,0,0,1972,40,0,Dave,0,South Africa
5,galli,0.0,1940-10-02,0,,330,0,1972-09-10,,0,🇮🇹,Galli,it,,0,4,,0,1,1972-06-04,0,0,1972,33,0,Nanni,0,Italy
5,marko,0.0,1943-04-27,0,,337,0,1972-07-02,,0,🇦🇹,Marko,at,,3,1,,0,4,1972-01-23,0,0,1972,25,0,Helmut,0,Austria
5,mario_andretti,4.0,1940-02-28,0,,207,0,1972-10-08,,0,🇺🇸,Andretti,us,,3,2,,0,3,1972-01-23,0,0,1972,12,0,Mario,2,USA
8,stommelen,0.0,1943-07-11,0,,243,0,1972-08-13,,0,🇩🇪,Stommelen,de,,2,3,,0,5,1972-03-04,0,0,1972,30,0,Rolf,0,Germany
8,wisell,0.0,1941-09-30,0,,317,0,1972-10-08,,0,🇸🇪,Wisell,se,,1,6,,0,2,1972-01-23,0,0,1972,31,0,Reine,0,Sweden
9,revson,23.0,1939-02-27,0,,309,4,1972-10-08,,0,🇺🇸,Revson,us,,7,1,,0,8,1972-01-23,1,0,1972,5,0,Peter,6,USA
