points,driverref,participations,country,did_not_start,last_win,driverid,podiums,last_race,country_flag,permanent_number,championships,surname,country_code,code,top_ten,did_not_finish,first_win,fastestlaps,races_finished,first_race,poles,subchampionships,year,standings_position,wins,forename,finished_in_points,dob
0.0,williams,1,UK,0,,395,0,1967-10-22T00:00:00.000Z,🇬🇧,,0,Williams,gb,,1,0,,0,1,1967-10-22T00:00:00.000Z,0,0,1967,26,0,Jonathan,0,1942-10-26T00:00:00.000Z
0.0,wietzes,1,Canada,0,,326,0,1967-08-27T00:00:00.000Z,🇨🇦,,0,Wietzes,ca,,0,1,,0,0,1967-08-27T00:00:00.000Z,0,0,1967,,0,Eppie,0,1938-05-28T00:00:00.000Z
0.0,tom_jones,1,USA,1,,393,0,1967-08-27T00:00:00.000Z,🇺🇸,,0,Jones,us,,0,0,,0,0,1967-08-27T00:00:00.000Z,0,0,1967,41,0,Tom,0,1943-04-26T00:00:00.000Z
0.0,charlton,1,South Africa,0,,293,0,1967-01-02T00:00:00.000Z,🇿🇦,,0,Charlton,za,,0,1,,0,0,1967-01-02T00:00:00.000Z,0,0,1967,30,0,Dave,0,1936-10-27T00:00:00.000Z
0.0,tingle,1,Rhodesia,0,,368,0,1967-01-02T00:00:00.000Z,🇿🇼,,0,Tingle,zw,,0,1,,0,0,1967-01-02T00:00:00.000Z,0,0,1967,33,0,Sam,0,1921-08-24T00:00:00.000Z
0.0,courage,3,UK,1,,361,0,1967-07-15T00:00:00.000Z,🇬🇧,,0,Courage,gb,,0,2,,0,0,1967-01-02T00:00:00.000Z,0,0,1967,31,0,Piers,0,1942-05-27T00:00:00.000Z
0.0,ahrens,1,Germany,0,,379,0,1967-08-06T00:00:00.000Z,🇩🇪,,0,Ahrens,de,,0,1,,0,0,1967-08-06T00:00:00.000Z,0,0,1967,43,0,Kurt,0,1940-04-19T00:00:00.000Z
0.0,solana,2,Mexico,0,,382,0,1967-10-22T00:00:00.000Z,🇲🇽,,0,Solana,mx,,0,2,,0,0,1967-10-01T00:00:00.000Z,0,0,1967,39,0,Moisés,0,1935-12-26T00:00:00.000Z
0.0,attwood,1,UK,0,,370,0,1967-08-27T00:00:00.000Z,🇬🇧,,0,Attwood,gb,,1,0,,0,1,1967-08-27T00:00:00.000Z,0,0,1967,27,0,Richard,0,1940-04-04T00:00:00.000Z
0.0,baghetti,1,Italy,0,,394,0,1967-09-10T00:00:00.000Z,🇮🇹,,0,Baghetti,it,,0,1,,0,0,1967-09-10T00:00:00.000Z,0,0,1967,34,0,Giancarlo,0,1934-12-25T00:00:00.000Z
0.0,bandini,1,Italy,0,,385,0,1967-05-07T00:00:00.000Z,🇮🇹,,0,Bandini,it,,0,1,,0,0,1967-05-07T00:00:00.000Z,0,0,1967,29,0,Lorenzo,0,1935-12-21T00:00:00.000Z
0.0,beltoise,3,France,1,,306,0,1967-10-22T00:00:00.000Z,🇫🇷,,0,Beltoise,fr,,2,0,,0,2,1967-05-07T00:00:00.000Z,0,0,1967,23,0,Jean-Pierre,0,1937-04-26T00:00:00.000Z
0.0,rees,2,UK,0,,390,0,1967-08-06T00:00:00.000Z,🇬🇧,,0,Rees,gb,,2,0,,0,2,1967-07-15T00:00:00.000Z,0,0,1967,24,0,Alan,0,1938-01-12T00:00:00.000Z
0.0,botha,1,South Africa,0,,384,0,1967-01-02T00:00:00.000Z,🇿🇦,,0,Botha,za,,0,1,,0,0,1967-01-02T00:00:00.000Z,0,0,1967,32,0,Luki,0,1930-01-16T00:00:00.000Z
0.0,moser,1,Switzerland,0,,351,0,1967-07-15T00:00:00.000Z,🇨🇭,,0,Moser,ch,,0,1,,0,0,1967-07-15T00:00:00.000Z,0,0,1967,36,0,Silvio,0,1941-04-24T00:00:00.000Z
0.0,jo_schlesser,1,France,0,,377,0,1967-08-06T00:00:00.000Z,🇫🇷,,0,Schlesser,fr,,0,1,,0,0,1967-08-06T00:00:00.000Z,0,0,1967,44,0,Jo,0,1928-05-18T00:00:00.000Z
0.0,fisher,2,USA,0,,392,0,1967-10-22T00:00:00.000Z,🇺🇸,,0,Fisher,us,,0,1,,0,1,1967-08-27T00:00:00.000Z,0,0,1967,28,0,Mike,0,1943-03-13T00:00:00.000Z
0.0,gavin,1,France,0,,359,0,1967-05-07T00:00:00.000Z,🇫🇷,,0,Servoz-Gavin,fr,,0,1,,0,0,1967-05-07T00:00:00.000Z,0,0,1967,38,0,Johnny,0,1942-01-18T00:00:00.000Z
0.0,ginther,1,USA,1,,386,0,1967-05-07T00:00:00.000Z,🇺🇸,,0,Ginther,us,,0,0,,0,0,1967-05-07T00:00:00.000Z,0,0,1967,42,0,Richie,0,1930-08-05T00:00:00.000Z
0.0,hahne,1,Germany,0,,365,0,1967-08-06T00:00:00.000Z,🇩🇪,,0,Hahne,de,,0,1,,0,0,1967-08-06T00:00:00.000Z,0,0,1967,40,0,Hubert,0,1935-03-28T00:00:00.000Z
0.0,hart,1,UK,0,,391,0,1967-08-06T00:00:00.000Z,🇬🇧,,0,Hart,gb,,0,1,,0,0,1967-08-06T00:00:00.000Z,0,0,1967,35,0,Brian,0,1936-09-07T00:00:00.000Z
0.0,pease,1,Canada,0,,371,0,1967-08-27T00:00:00.000Z,🇨🇦,,0,Pease,ca,,0,1,,0,0,1967-08-27T00:00:00.000Z,0,0,1967,37,0,Al,0,1921-10-15T00:00:00.000Z
0.0,hobbs,3,UK,0,,322,0,1967-08-27T00:00:00.000Z,🇬🇧,,0,Hobbs,gb,,3,0,,0,3,1967-07-15T00:00:00.000Z,0,0,1967,25,0,David,0,1939-06-09T00:00:00.000Z
0.0,oliver,1,UK,0,,262,0,1967-08-06T00:00:00.000Z,🇬🇧,,0,Oliver,gb,,1,0,,0,1,1967-08-06T00:00:00.000Z,0,0,1967,22,0,Jackie,0,1942-08-14T00:00:00.000Z
1.0,scarfiotti,3,Italy,0,,375,0,1967-09-10T00:00:00.000Z,🇮🇹,,0,Scarfiotti,it,,1,2,,0,1,1967-06-04T00:00:00.000Z,0,0,1967,20,0,Ludovico,1,1933-10-18T00:00:00.000Z
1.0,ickx,3,Belgium,0,,235,0,1967-10-01T00:00:00.000Z,🇧🇪,,0,Ickx,be,,1,2,,0,1,1967-08-06T00:00:00.000Z,0,0,1967,19,0,Jacky,1,1945-01-01T00:00:00.000Z
1.0,ligier,7,France,0,,389,0,1967-10-22T00:00:00.000Z,🇫🇷,,0,Ligier,fr,,3,3,,0,4,1967-06-18T00:00:00.000Z,0,0,1967,21,0,Guy,1,1930-07-12T00:00:00.000Z
10.0,stewart,11,UK,0,,328,2,1967-10-22T00:00:00.000Z,🇬🇧,,0,Stewart,gb,,2,9,,0,2,1967-01-02T00:00:00.000Z,0,0,1967,9,0,Jackie,2,1939-06-11T00:00:00.000Z
13.0,gurney,11,USA,0,1967-06-18T00:00:00.000Z,364,2,1967-10-22T00:00:00.000Z,🇺🇸,,0,Gurney,us,,2,9,1967-06-18T00:00:00.000Z,0,2,1967-01-02T00:00:00.000Z,0,0,1967,8,1,Dan,2,1931-04-13T00:00:00.000Z
15.0,hill,11,UK,0,,289,2,1967-10-22T00:00:00.000Z,🇬🇧,,0,Hill,gb,,3,8,,0,3,1967-01-02T00:00:00.000Z,3,0,1967,7,0,Graham,3,1929-02-15T00:00:00.000Z
15.0,rodriguez,8,Mexico,0,1967-01-02T00:00:00.000Z,345,1,1967-10-22T00:00:00.000Z,🇲🇽,,0,Rodríguez,mx,,6,1,1967-01-02T00:00:00.000Z,0,7,1967-01-02T00:00:00.000Z,0,0,1967,6,1,Pedro,5,1940-01-18T00:00:00.000Z
2.0,irwin,9,UK,0,,388,0,1967-10-22T00:00:00.000Z,🇬🇧,,0,Irwin,gb,,4,5,,0,4,1967-06-04T00:00:00.000Z,0,0,1967,16,0,Chris,1,1942-06-27T00:00:00.000Z
2.0,parkes,2,UK,0,,387,0,1967-06-18T00:00:00.000Z,🇬🇧,,0,Parkes,gb,,1,1,,0,1,1967-06-04T00:00:00.000Z,0,0,1967,18,0,Mike,1,1931-09-24T00:00:00.000Z
2.0,anderson,6,UK,1,,383,0,1967-07-15T00:00:00.000Z,🇬🇧,,0,Anderson,gb,,3,2,,0,3,1967-01-02T00:00:00.000Z,0,0,1967,17,0,Bob,1,1931-05-19T00:00:00.000Z
20.0,amon,10,New Zealand,0,,278,4,1967-10-22T00:00:00.000Z,🇳🇿,,0,Amon,nz,,8,2,,0,8,1967-05-07T00:00:00.000Z,0,0,1967,5,0,Chris,6,1943-07-20T00:00:00.000Z
20.0,surtees,9,UK,0,1967-09-10T00:00:00.000Z,341,2,1967-10-22T00:00:00.000Z,🇬🇧,,0,Surtees,gb,,5,4,1967-09-10T00:00:00.000Z,0,5,1967-01-02T00:00:00.000Z,0,0,1967,4,1,John,5,1934-02-11T00:00:00.000Z
3.0,mclaren,9,New Zealand,0,,360,0,1967-10-22T00:00:00.000Z,🇳🇿,,0,McLaren,nz,,2,7,,0,2,1967-05-07T00:00:00.000Z,0,0,1967,14,0,Bruce,1,1937-08-30T00:00:00.000Z
3.0,bonnier,8,Sweden,0,,347,0,1967-10-22T00:00:00.000Z,🇸🇪,,0,Bonnier,se,,4,4,,0,4,1967-01-02T00:00:00.000Z,0,0,1967,15,0,Jo,2,1930-01-31T00:00:00.000Z
