participations,driverref,points,dob,did_not_start,last_win,driverid,podiums,last_race,permanent_number,championships,country_flag,surname,country_code,code,top_ten,did_not_finish,first_win,fastestlaps,races_finished,first_race,poles,subchampionships,year,standings_position,wins,forename,finished_in_points,country
1,tingle,0.0,1921-08-24,0,,368,0,1969-03-01,,0,🇿🇼,Tingle,zw,,1,0,,0,1,1969-03-01,0,0,1969,20,0,Sam,0,Rhodesia
1,rooyen,0.0,1939-04-19,0,,369,0,1969-03-01,,0,🇿🇦,van Rooyen,za,,0,1,,0,0,1969-03-01,0,0,1969,30,0,Basil,0,South Africa
1,pease,0.0,1921-10-15,0,,371,0,1969-09-20,,0,🇨🇦,Pease,ca,,0,1,,0,0,1969-09-20,0,0,1969,,0,Al,0,Canada
1,attwood,3.0,1940-04-04,0,,370,0,1969-05-18,,0,🇬🇧,Attwood,gb,,1,0,,0,1,1969-05-18,0,0,1969,13,0,Richard,1,UK
1,bell,0.0,1941-10-31,0,,321,0,1969-07-19,,0,🇬🇧,Bell,gb,,0,1,,0,0,1969-07-19,0,0,1969,27,0,Derek,0,UK
1,love,0.0,1924-12-07,0,,340,0,1969-03-01,,0,🇿🇼,Love,zw,,0,1,,0,0,1969-03-01,0,0,1969,28,0,John,0,Rhodesia
1,brack,0.0,1935-12-26,0,,343,0,1969-09-20,,0,🇨🇦,Brack,ca,,0,1,,0,0,1969-09-20,0,0,1969,22,0,Bill,0,Canada
1,cordts,0.0,1935-07-23,0,,372,0,1969-09-20,,0,🇨🇦,Cordts,ca,,0,1,,0,0,1969-09-20,0,0,1969,29,0,John,0,Canada
1,klerk,0.0,1935-03-16,0,,362,0,1969-03-01,,0,🇿🇦,de Klerk,za,,0,1,,0,0,1969-03-01,0,0,1969,23,0,Peter,0,South Africa
10,surtees,6.0,1934-02-11,0,,341,1,1969-10-19,,0,🇬🇧,Surtees,gb,,3,7,,0,3,1969-03-01,0,0,1969,11,0,John,2,UK
10,hill,19.0,1929-02-15,0,1969-05-18,289,2,1969-10-05,,0,🇬🇧,Hill,gb,,7,3,1969-05-18,0,7,1969-03-01,0,0,1969,7,1,Graham,4,UK
10,rindt,22.0,1942-04-18,0,1969-10-05,358,3,1969-10-19,,0,🇦🇹,Rindt,at,,4,6,1969-10-05,0,4,1969-03-01,5,0,1969,4,1,Jochen,4,Austria
10,oliver,1.0,1942-08-14,0,,262,0,1969-10-19,,0,🇬🇧,Oliver,gb,,2,8,,0,2,1969-03-01,0,0,1969,17,0,Jackie,1,UK
10,courage,16.0,1942-05-27,0,,361,2,1969-10-19,,0,🇬🇧,Courage,gb,,5,5,,0,5,1969-05-04,0,0,1969,8,0,Piers,4,UK
11,stewart,63.0,1939-06-11,0,1969-09-07,328,7,1969-10-19,,1,🇬🇧,Stewart,gb,,8,3,1969-03-01,0,8,1969-03-01,2,0,1969,1,6,Jackie,8,UK
11,mclaren,26.0,1937-08-30,0,,360,3,1969-10-19,,0,🇳🇿,McLaren,nz,,8,3,,0,8,1969-03-01,0,0,1969,3,0,Bruce,8,New Zealand
11,beltoise,21.0,1937-04-26,0,,306,3,1969-10-19,,0,🇫🇷,Beltoise,fr,,9,2,,0,9,1969-03-01,0,0,1969,5,0,Jean-Pierre,7,France
11,hulme,20.0,1936-06-18,0,1969-10-19,304,2,1969-10-19,,0,🇳🇿,Hulme,nz,,7,4,1969-10-19,0,7,1969-03-01,0,0,1969,6,1,Denny,5,New Zealand
11,siffert,15.0,1936-07-07,0,,346,2,1969-10-19,,0,🇨🇭,Siffert,ch,,7,4,,0,7,1969-03-01,0,0,1969,9,0,Jo,4,Switzerland
11,ickx,37.0,1945-01-01,0,1969-09-20,235,5,1969-10-19,,0,🇧🇪,Ickx,be,,8,3,1969-08-03,0,8,1969-03-01,2,1,1969,2,2,Jacky,7,Belgium
2,eaton,0.0,1945-11-12,0,,352,0,1969-10-19,,0,🇨🇦,Eaton,ca,,0,2,,0,0,1969-10-05,0,0,1969,24,0,George,0,Canada
2,bonnier,0.0,1930-01-31,0,,347,0,1969-08-03,,0,🇸🇪,Bonnier,se,,0,2,,0,0,1969-07-19,0,0,1969,25,0,Jo,0,Sweden
3,lovely,0.0,1926-04-11,0,,353,0,1969-10-19,,0,🇺🇸,Lovely,us,,2,1,,0,2,1969-09-20,0,0,1969,19,0,Pete,0,USA
