points,driverref,participations,country,did_not_start,last_win,driverid,podiums,last_race,country_flag,permanent_number,championships,surname,country_code,code,top_ten,did_not_finish,first_win,fastestlaps,races_finished,first_race,poles,subchampionships,year,standings_position,wins,forename,finished_in_points,dob
0.0,yamamoto,7,Japan,0,,29,0,2007-10-21T00:00:00.000Z,🇯🇵,,0,Yamamoto,jp,YAM,0,2,,0,5,2007-08-05T00:00:00.000Z,0,0,2007,24,0,Sakon,0,1982-07-09T00:00:00.000Z
0.0,albers,9,Netherlands,0,,27,0,2007-07-08T00:00:00.000Z,🇳🇱,,0,Albers,nl,ALB,0,4,,0,5,2007-03-18T00:00:00.000Z,0,0,2007,25,0,Christijan,0,1979-04-16T00:00:00.000Z
0.0,barrichello,17,Brazil,0,,22,0,2007-10-21T00:00:00.000Z,🇧🇷,,0,Barrichello,br,BAR,5,2,,0,15,2007-03-18T00:00:00.000Z,0,0,2007,20,0,Rubens,0,1972-05-23T00:00:00.000Z
0.0,speed,10,USA,0,,26,0,2007-07-22T00:00:00.000Z,🇺🇸,,0,Speed,us,SPE,1,7,,0,3,2007-03-18T00:00:00.000Z,0,0,2007,21,0,Scott,0,1983-01-24T00:00:00.000Z
0.0,davidson,17,UK,0,,19,0,2007-10-21T00:00:00.000Z,🇬🇧,,0,Davidson,gb,DAV,0,5,,0,12,2007-03-18T00:00:00.000Z,0,0,2007,23,0,Anthony,0,1979-04-18T00:00:00.000Z
0.0,nakajima,1,Japan,0,,6,0,2007-10-21T00:00:00.000Z,🇯🇵,,0,Nakajima,jp,NAK,1,0,,0,1,2007-10-21T00:00:00.000Z,0,0,2007,22,0,Kazuki,0,1985-01-11T00:00:00.000Z
0.0,markus_winkelhock,1,Germany,0,,28,0,2007-07-22T00:00:00.000Z,🇩🇪,,0,Winkelhock,de,WIN,0,1,,0,0,2007-07-22T00:00:00.000Z,0,0,2007,,0,Markus,0,1980-06-13T00:00:00.000Z
1.0,sutil,17,Germany,0,,16,0,2007-10-21T00:00:00.000Z,🇩🇪,99,0,Sutil,de,SUT,1,7,,0,10,2007-03-18T00:00:00.000Z,0,0,2007,19,0,Adrian,1,1983-01-11T00:00:00.000Z
10.0,webber,17,Australia,0,,17,1,2007-10-21T00:00:00.000Z,🇦🇺,,0,Webber,au,WEB,8,7,,0,10,2007-03-18T00:00:00.000Z,0,0,2007,12,0,Mark,3,1976-08-27T00:00:00.000Z
109.0,alonso,17,Spain,0,2007-09-09T00:00:00.000Z,4,12,2007-10-21T00:00:00.000Z,🇪🇸,14,0,Alonso,es,ALO,16,1,2007-04-08T00:00:00.000Z,3,16,2007-03-18T00:00:00.000Z,2,0,2007,3,4,Fernando,16,1981-07-29T00:00:00.000Z
109.0,hamilton,17,UK,0,2007-09-30T00:00:00.000Z,1,12,2007-10-21T00:00:00.000Z,🇬🇧,44,0,Hamilton,gb,HAM,16,1,2007-06-10T00:00:00.000Z,2,16,2007-03-18T00:00:00.000Z,6,1,2007,2,4,Lewis,15,1985-01-07T00:00:00.000Z
110.0,raikkonen,17,Finland,0,2007-10-21T00:00:00.000Z,8,12,2007-10-21T00:00:00.000Z,🇫🇮,7,1,Räikkönen,fi,RAI,15,2,2007-03-18T00:00:00.000Z,6,15,2007-03-18T00:00:00.000Z,3,0,2007,1,6,Kimi,15,1979-10-17T00:00:00.000Z
13.0,wurz,16,Austria,0,,25,1,2007-10-07T00:00:00.000Z,🇦🇹,,0,Wurz,at,WUR,5,4,,0,12,2007-03-18T00:00:00.000Z,0,0,2007,11,0,Alexander,3,1974-02-15T00:00:00.000Z
14.0,coulthard,17,UK,0,,14,0,2007-10-21T00:00:00.000Z,🇬🇧,,0,Coulthard,gb,COU,6,7,,0,10,2007-03-18T00:00:00.000Z,0,0,2007,10,0,David,4,1971-03-27T00:00:00.000Z
20.0,rosberg,17,Germany,0,,3,0,2007-10-21T00:00:00.000Z,🇩🇪,6,0,Rosberg,de,ROS,10,3,,0,14,2007-03-18T00:00:00.000Z,0,0,2007,9,0,Nico,7,1985-06-27T00:00:00.000Z
21.0,fisichella,17,Italy,0,,21,0,2007-10-21T00:00:00.000Z,🇮🇹,,0,Fisichella,it,FIS,11,3,,0,14,2007-03-18T00:00:00.000Z,0,0,2007,8,0,Giancarlo,7,1973-01-14T00:00:00.000Z
