participations,driverref,points,dob,did_not_start,last_win,driverid,podiums,last_race,permanent_number,championships,country_flag,surname,country_code,code,top_ten,did_not_finish,first_win,fastestlaps,races_finished,first_race,poles,subchampionships,year,standings_position,wins,forename,finished_in_points,country
1,keizan,0.0,1944-09-12,0,,292,0,1974-03-30,,0,🇿🇦,Keizan,za,,0,0,,0,1,1974-03-30,0,0,1974,41,0,Eddie,0,South Africa
1,wietzes,0.0,1938-05-28,0,,326,0,1974-09-22,,0,🇨🇦,Wietzes,ca,,0,1,,0,0,1974-09-22,0,0,1974,56,0,Eppie,0,Canada
1,roos,0.0,1943-10-12,0,,318,0,1974-06-09,,0,🇸🇪,Roos,se,,0,1,,0,0,1974-06-09,0,0,1974,55,0,Bertil,0,Sweden
1,quester,0.0,1939-05-30,0,,323,0,1974-08-18,,0,🇦🇹,Quester,at,,1,0,,0,1,1974-08-18,0,0,1974,31,0,Dieter,0,Austria
1,purley,0.0,1945-01-26,1,,259,0,1974-07-20,,0,🇬🇧,Purley,gb,,0,0,,0,0,1974-07-20,0,0,1974,58,0,David,0,UK
1,pilette,0.0,1942-07-26,0,,269,0,1974-05-12,,0,🇧🇪,Pilette,be,,0,0,,0,1,1974-05-12,0,0,1974,45,0,Teddy,0,Belgium
1,perkins,0.0,1950-03-18,1,,256,0,1974-08-04,,0,🇦🇺,Perkins,au,,0,0,,0,0,1974-08-04,0,0,1974,61,0,Larry,0,Australia
1,gethin,0.0,1940-02-21,0,,320,0,1974-07-20,,0,🇬🇧,Gethin,gb,,0,1,,0,0,1974-07-20,0,0,1974,54,0,Peter,0,UK
1,nicholson,0.0,1941-10-06,1,,300,0,1974-07-20,,0,🇳🇿,Nicholson,nz,,0,0,,0,0,1974-07-20,0,0,1974,62,0,John,0,New Zealand
1,wisell,0.0,1941-09-30,0,,317,0,1974-06-09,,0,🇸🇪,Wisell,se,,0,1,,0,0,1974-06-09,0,0,1974,48,0,Reine,0,Sweden
1,charlton,0.0,1936-10-27,0,,293,0,1974-03-30,,0,🇿🇦,Charlton,za,,0,0,,0,1,1974-03-30,0,0,1974,46,0,Dave,0,South Africa
1,facetti,0.0,1935-06-26,1,,325,0,1974-09-08,,0,🇮🇹,Facetti,it,,0,0,,0,0,1974-09-08,0,0,1974,59,0,Carlo,0,Italy
1,driver,0.0,1934-05-13,0,,310,0,1974-03-30,,0,🇿🇦,Driver,za,,0,1,,0,0,1974-03-30,0,0,1974,53,0,Paddy,0,South Africa
1,lombardi,0.0,1941-03-26,1,,275,0,1974-07-20,,0,🇮🇹,Lombardi,it,,0,0,,0,0,1974-07-20,0,0,1974,60,0,Lella,0,Italy
11,hailwood,12.0,1940-04-02,0,,305,1,1974-08-04,,0,🇬🇧,Hailwood,gb,,7,3,,0,8,1974-01-13,0,0,1974,11,0,Mike,4,UK
11,migault,0.0,1944-12-04,1,,296,0,1974-09-08,,0,🇫🇷,Migault,fr,,0,6,,0,4,1974-01-13,0,0,1974,38,0,François,0,France
12,brambilla,1.0,1937-11-11,1,,230,0,1974-10-06,,0,🇮🇹,Brambilla,it,,5,4,,0,7,1974-03-30,0,0,1974,20,0,Vittorio,1,Italy
12,pescarolo,0.0,1942-09-25,0,,280,0,1974-09-08,,0,🇫🇷,Pescarolo,fr,,2,7,,0,5,1974-01-13,0,0,1974,29,0,Henri,0,France
13,mass,0.0,1946-09-30,0,,200,0,1974-10-06,,0,🇩🇪,Mass,de,,1,9,,0,4,1974-01-13,0,0,1974,23,0,Jochen,0,Germany
14,merzario,4.0,1943-03-11,0,,232,0,1974-10-06,,0,🇮🇹,Merzario,it,,3,11,,0,3,1974-01-13,0,0,1974,17,0,Arturo,2,Italy
14,jarier,6.0,1946-07-10,0,,197,1,1974-10-06,,0,🇫🇷,Jarier,fr,,5,7,,0,7,1974-01-13,0,0,1974,14,0,Jean-Pierre,2,France
14,pace,11.0,1944-10-06,1,,250,1,1974-10-06,,0,🇧🇷,Pace,br,,5,5,,0,8,1974-01-13,0,0,1974,12,0,Carlos,3,Brazil
14,stuck,5.0,1951-01-01,2,,233,0,1974-10-06,,0,🇩🇪,Stuck,de,,3,8,,0,4,1974-01-13,0,0,1974,16,0,Hans-Joachim,2,Germany
15,peterson,35.0,1944-02-14,0,1974-09-08,238,4,1974-10-06,,0,🇸🇪,Peterson,se,,8,6,1974-05-26,0,9,1974-01-13,1,0,1974,5,3,Ronnie,6,Sweden
15,hulme,20.0,1936-06-18,0,1974-01-13,304,2,1974-10-06,,0,🇳🇿,Hulme,nz,,9,5,1974-01-13,0,10,1974-01-13,0,0,1974,7,1,Denny,7,New Zealand
15,hunt,15.0,1947-08-29,0,,231,3,1974-10-06,,0,🇬🇧,Hunt,gb,,6,9,,0,6,1974-01-13,0,0,1974,8,0,James,4,UK
15,ickx,12.0,1945-01-01,0,,235,2,1974-10-06,,0,🇧🇪,Ickx,be,,4,9,,0,6,1974-01-13,0,0,1974,10,0,Jacky,4,Belgium
15,hill,1.0,1929-02-15,0,,289,0,1974-10-06,,0,🇬🇧,Hill,gb,,6,3,,0,12,1974-01-13,0,0,1974,18,0,Graham,1,UK
15,scheckter,45.0,1950-01-29,0,1974-07-20,222,6,1974-10-06,,0,🇿🇦,Scheckter,za,,10,4,1974-06-09,0,11,1974-01-13,0,0,1974,3,2,Jody,9,South Africa
15,emerson_fittipaldi,55.0,1946-12-12,0,1974-09-22,224,7,1974-10-06,,1,🇧🇷,Fittipaldi,br,,12,3,1974-01-27,0,12,1974-01-13,2,0,1974,1,3,Emerson,10,Brazil
15,watson,6.0,1946-05-04,0,,187,0,1974-10-06,,0,🇬🇧,Watson,gb,,5,4,,0,11,1974-01-13,0,0,1974,15,0,John,3,UK
15,regazzoni,52.0,1939-09-05,0,1974-08-04,223,7,1974-10-06,,0,🇨🇭,Regazzoni,ch,,11,3,1974-08-04,0,12,1974-01-13,1,1,1974,2,1,Clay,11,Switzerland
15,lauda,38.0,1949-02-22,0,1974-06-23,182,5,1974-10-06,,0,🇦🇹,Lauda,at,,6,8,1974-04-28,0,7,1974-01-13,9,0,1974,4,2,Niki,6,Austria
15,depailler,14.0,1944-08-09,0,,221,1,1974-10-06,,0,🇫🇷,Depailler,fr,,10,4,,0,11,1974-01-13,1,0,1974,9,0,Patrick,6,France
15,beltoise,10.0,1937-04-26,1,,306,1,1974-10-06,,0,🇫🇷,Beltoise,fr,,5,8,,0,6,1974-01-13,0,0,1974,13,0,Jean-Pierre,3,France
15,reutemann,32.0,1942-04-12,0,1974-10-06,199,4,1974-10-06,,0,🇦🇷,Reutemann,ar,,8,6,1974-03-30,0,9,1974-01-13,1,0,1974,6,3,Carlos,5,Argentina
2,ian_scheckter,0.0,1947-08-22,1,,251,0,1974-08-18,,0,🇿🇦,Scheckter,za,,0,0,,0,1,1974-03-30,0,0,1974,37,0,Ian,0,South Africa
2,jabouille,0.0,1942-10-01,2,,219,0,1974-08-18,,0,🇫🇷,Jabouille,fr,,0,0,,0,0,1974-07-07,0,0,1974,57,0,Jean-Pierre,0,France
2,revson,0.0,1939-02-27,0,,309,0,1974-01-27,,0,🇺🇸,Revson,us,,0,2,,0,0,1974-01-13,0,0,1974,50,0,Peter,0,USA
2,larrousse,0.0,1940-05-23,1,,315,0,1974-07-07,,0,🇫🇷,Larrousse,fr,,0,1,,0,0,1974-05-12,0,0,1974,52,0,Gérard,0,France
2,lennep,0.0,1942-03-16,1,,298,0,1974-06-23,,0,🇳🇱,van Lennep,nl,,0,0,,0,1,1974-05-12,0,0,1974,40,0,Gijs,0,Netherlands
2,mario_andretti,0.0,1940-02-28,0,,207,0,1974-10-06,,0,🇺🇸,Andretti,us,,1,1,,0,1,1974-09-22,0,0,1974,25,0,Mario,0,USA
2,donohue,0.0,1937-03-18,0,,288,0,1974-10-06,,0,🇺🇸,Donohue,us,,0,1,,0,1,1974-09-22,0,0,1974,36,0,Mark,0,USA
2,hobbs,0.0,1939-06-09,0,,322,0,1974-09-08,,0,🇬🇧,Hobbs,gb,,2,0,,0,2,1974-08-18,0,0,1974,22,0,David,0,UK
3,dolhem,0.0,1944-04-26,2,,319,0,1974-10-06,,0,🇫🇷,Dolhem,fr,,0,1,,0,0,1974-07-07,0,0,1974,49,0,José,0,France
3,redman,0.0,1937-03-09,0,,312,0,1974-05-26,,0,🇬🇧,Redman,gb,,1,1,,0,2,1974-04-28,0,0,1974,24,0,Brian,0,UK
3,koinigg,0.0,1948-11-03,1,,324,0,1974-10-06,,0,🇦🇹,Koinigg,at,,1,1,,0,1,1974-08-18,0,0,1974,33,0,Helmuth,0,Austria
4,ashley,0.0,1947-10-26,2,,270,0,1974-10-06,,0,🇬🇧,Ashley,gb,,0,1,,0,1,1974-08-04,0,0,1974,39,0,Ian,0,UK
4,belso,0.0,1942-08-27,2,,311,0,1974-07-20,,0,🇩🇰,Belsø,dk,,1,1,,0,1,1974-03-30,0,0,1974,27,0,Tom,0,Denmark
4,robarts,0.0,1944-09-22,1,,308,0,1974-06-09,,0,🇬🇧,Robarts,gb,,0,1,,0,2,1974-01-13,0,0,1974,42,0,Richard,0,UK
4,ganley,0.0,1941-12-24,2,,307,0,1974-08-04,,0,🇳🇿,Ganley,nz,,1,1,,0,1,1974-01-13,0,0,1974,26,0,Howden,0,New Zealand
4,stommelen,0.0,1943-07-11,0,,243,0,1974-10-06,,0,🇩🇪,Stommelen,de,,0,2,,0,2,1974-08-18,0,0,1974,34,0,Rolf,0,Germany
5,bell,0.0,1941-10-31,4,,321,0,1974-09-22,,0,🇬🇧,Bell,gb,,0,0,,0,1,1974-07-20,0,0,1974,35,0,Derek,0,UK
5,wilds,0.0,1946-01-07,4,,283,0,1974-10-06,,0,🇬🇧,Wilds,gb,,0,1,,0,0,1974-07-20,0,0,1974,47,0,Mike,0,UK
5,laffite,0.0,1943-11-21,0,,172,0,1974-10-06,,0,🇫🇷,Laffite,fr,,0,4,,0,1,1974-08-04,0,0,1974,43,0,Jacques,0,France
6,amon,0.0,1943-07-20,2,,278,0,1974-10-06,,0,🇳🇿,Amon,nz,,1,3,,0,1,1974-04-28,0,0,1974,30,0,Chris,0,New Zealand
6,opel,0.0,1947-10-14,2,,313,0,1974-07-07,,0,🇱🇮,von Opel,li,,2,2,,0,2,1974-04-28,0,0,1974,28,0,Rikky,0,Liechtenstein
6,kinnunen,0.0,1943-08-05,5,,316,0,1974-09-08,,0,🇫🇮,Kinnunen,fi,,0,1,,0,0,1974-05-12,0,0,1974,51,0,Leo,0,Finland
7,schuppan,0.0,1943-03-19,2,,267,0,1974-08-04,,0,🇦🇺,Schuppan,au,,0,4,,0,1,1974-05-12,0,0,1974,44,0,Vern,0,Australia
9,schenken,0.0,1943-09-26,2,,314,0,1974-10-06,,0,🇦🇺,Schenken,au,,2,4,,0,3,1974-04-28,0,0,1974,32,0,Tim,0,Australia
9,pryce,1.0,1949-06-11,0,,252,0,1974-10-06,,0,🇬🇧,Pryce,gb,,3,6,,0,3,1974-05-12,0,0,1974,19,0,Tom,1,UK
9,edwards,0.0,1942-12-30,2,,265,0,1974-08-04,,0,🇬🇧,Edwards,gb,,2,2,,0,5,1974-01-13,0,0,1974,21,0,Guy,0,UK
